ID,SMILES,IC50,pIC50,bioactivity,bio_code,bio_code2,Target.ChEMBL.ID,Target.Name,Document.ChEMBL.ID,Assay.Description,Document.Journal,Document.Year,Molecular.Weight,AlogP
CHEMBL176970,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O)OCc1ccccc1,240,6.62,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127937,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),Bioorg. Med. Chem. Lett.,1994,412.51,2.47
CHEMBL177000,COC(=O)c1ccccc1NC(=O)CN(C)C(=O)C1C[C@@H](S)CN1S(=O)(=O)c1ccc2ccccc2c1,36600,4.44,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1156603,Inhibition of ACE,Bioorg. Med. Chem. Lett.,2008,353.51,2.93
CHEMBL177394,COC(=O)[C@@H]1CCCN1C(=O)CCC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1,82,7.09,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127546,Tested for inhibitory potency against Angiotensin I Converting Enzyme,J. Med. Chem.,1994,463.6,4.29
CHEMBL1788203,CCCC[C@H](CC(=O)NO)S(=O)(=O)c1ccccc1,34000,4.47,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1156603,Inhibition of ACE,Bioorg. Med. Chem. Lett.,2008,389.54,4.04
CHEMBL1907752,CCOC(=O)C(CCc1ccccc1)[S+]([O-])C(C)C(=O)N1C2CCCCC2C[C@H]1C(=O)O,220,6.66,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127937,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),Bioorg. Med. Chem. Lett.,1994,414.48,1.91
CHEMBL1907754,CCOC(=O)C(CCc1ccccc1)SC(C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,460,6.34,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122972,In vitro inhibitory activity against Angiotensin I converting enzyme,J. Med. Chem.,1985,313.35,-0.75
CHEMBL1907755,CC(SC(CCc1ccccc1)C(=O)O)C(=O)N1C2CCCCC2C[C@H]1C(=O)O,140,6.85,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1133572,Inhibitory activity against angiotensin I converting enzyme (ACE),J. Med. Chem.,2000,563.67,6.12
CHEMBL1907759,CCOC(=O)C(CCc1ccccc1)SC(C)C(=O)N1CSC[C@@H]1C(=O)O,4800,5.32,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127937,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),Bioorg. Med. Chem. Lett.,1994,428.51,2.3
CHEMBL1907760,CCOC(=O)C(CCc1ccccc1)SC(C)C(=O)N1C2CCCCC2C[C@H]1C(=O)O,2000,5.7,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127546,Tested for inhibitory potency against Angiotensin I Converting Enzyme,J. Med. Chem.,1994,266.41,3.66
CHEMBL1907762,CC(SC(CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,580,6.24,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127958,In vitro inhibitory activity against angiotensin converting enzyme (ACE) in rat was determined,Bioorg. Med. Chem. Lett.,1994,379.44,0.09
CHEMBL191,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,19,7.72,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127958,In vitro inhibitory activity against angiotensin converting enzyme (ACE) in rat was determined,Bioorg. Med. Chem. Lett.,1994,391.45,0.24
CHEMBL194651,CCCc1cnc(N2C[C@H](S)CC2CNCc2cc(F)ccc2F)nc1,31500,4.5,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127546,Tested for inhibitory potency against Angiotensin I Converting Enzyme,J. Med. Chem.,1994,394.58,3.3
CHEMBL196902,O=C(O)CCNC(=O)C(CS)Cc1ccccc1,32000,4.5,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127546,Tested for inhibitory potency against Angiotensin I Converting Enzyme,J. Med. Chem.,1994,395.57,3.9
CHEMBL198316,O=C(N[C@H]1Cc2ccccc2C2CCC[C@H](C(=O)O)N2C1=O)[C@H](S)Cc1ccccc1,0.11,9.96,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1145855,Inhibitory activity against Angiotensin I converting enzyme (ACE) from human blood serum,J. Med. Chem.,2003,285.28,1.91
CHEMBL204944,NCCC[C@H](NC(=O)CCc1nc2ccccc2[nH]1)C(=O)N1CCC[C@H]1C(=O)O,10000,5,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127937,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),Bioorg. Med. Chem. Lett.,1994,414.48,1.91
CHEMBL2079670,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C2CCCCC2C[C@H]1C(=O)O,260,6.58,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122964,Inhibition of Angiotensin I converting enzyme,J. Med. Chem.,1985,203.26,0.38
CHEMBL2079671,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1C2CCCCC2C[C@H]1C(=O)O,100,7,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,201.25,0.16
CHEMBL2097001,C[C@H](C[Si](O)(O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,3.8,8.42,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1133572,Inhibitory activity against angiotensin I converting enzyme (ACE),J. Med. Chem.,2000,378.49,1.89
CHEMBL2110258,CC(C)C[C@H](S)[C@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)O,10000,5,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127937,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),Bioorg. Med. Chem. Lett.,1994,400.46,1.52
CHEMBL2110347,CC(C)C[C@H](S)[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)O,16100,4.79,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1154033,Inhibition of human recombinant ACE by fluorimetry,Bioorg. Med. Chem. Lett.,2009,337.32,1.75
CHEMBL2111940,C[C@H](N[C@H](C[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,4.8,8.32,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121705,Concentration required for 50% inhibition of Angiotensin I converting enzyme,J. Med. Chem.,1981,189.24,-0.15
CHEMBL2111941,C[C@H](NC(CNC(=O)c1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,40,7.4,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,267.24,0.14
CHEMBL2111942,C[C@H](N[C@@H](C(=O)O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,1400,5.85,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127546,Tested for inhibitory potency against Angiotensin I Converting Enzyme,J. Med. Chem.,1994,397.54,3.85
CHEMBL2112767,C[C@H](N[C@@H](CNC(=O)c1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,17,7.77,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,391.47,0.85
CHEMBL2112768,C[C@H](N[C@@H](C[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,3,8.52,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1123237,Inhibition of guinea pig angiotensin I converting enzyme,J. Med. Chem.,1986,498.58,2.58
CHEMBL2112769,C[C@H](N[C@H](C(=O)O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,7.7,8.11,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1133572,Inhibitory activity against angiotensin I converting enzyme (ACE),J. Med. Chem.,2000,416.52,2.38
CHEMBL2114219,O=C(O)CN1CCCCC[C@H](N[C@@H](CCc2ccccc2)C(=O)O)C1=O,2,8.7,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121705,Concentration required for 50% inhibition of Angiotensin I converting enzyme,J. Med. Chem.,1981,203.26,0.24
CHEMBL2114322,CCOC(=O)[C@@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,200,6.7,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,209.29,-0.19
CHEMBL2115075,CCOC(=O)[C@@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O,1100,5.96,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127546,Tested for inhibitory potency against Angiotensin I Converting Enzyme,J. Med. Chem.,1994,371.5,3.37
CHEMBL2115288,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@@H]1C(=O)O,6100,5.21,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126948,Inhibitory concentration was evaluated by inhibiting 50% of Angiotensin I Converting Enzyme activity using 50 uM N-Cbz-Phe-His-Leu as substrate,J. Med. Chem.,1993,371.5,3.37
CHEMBL2115478,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2[C@H]1C(=O)O,44,7.36,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,354.34,1.47
CHEMBL2153745,O=C(N[C@@H](CCc1ccccc1)CP(=O)(O)CC(=O)N1CCC[C@H]1C(=O)O)c1ccccc1,12,7.92,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,458.45,2.72
CHEMBL2304318,C[C@H](N[C@](C)(CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,1.2,8.92,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121705,Concentration required for 50% inhibition of Angiotensin I converting enzyme,J. Med. Chem.,1981,231.27,0.2
CHEMBL2370850,C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N1CCC[C@H]1C(=O)O,50,7.3,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,292.36,1.6
CHEMBL2370854,C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,2700,5.57,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127546,Tested for inhibitory potency against Angiotensin I Converting Enzyme,J. Med. Chem.,1994,428.6,3.5
CHEMBL23849,CC(CS)C(=O)N1c2ccccc2CC1C(=O)O,12.59,7.9,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,209.29,-0.2
CHEMBL2442646,CCCC(N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)P(=O)(O)O,30,7.52,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,436.51,2.7
CHEMBL2442647,C[C@H](NC(CCc1ccccc1)P(=O)(O)O)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21,40,7.4,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,313.4,1.74
CHEMBL255568,CC(C)CN(C[C@H](O)C(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,103,6.99,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,445.52,1.15
CHEMBL256895,O=C(O)[C@@H](O)CN(Cc1ccc2c(c1)Cc1ccccc1-2)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,150,6.82,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127600,Tested in vitro for its inhibitory activity against neutral endopeptidase (NEP),J. Med. Chem.,1994,419.57,3.29
CHEMBL25782,CCOC(=O)C(CCc1ccccc1)OC(C)C(=O)N1Cc2ccccc2CC1C(=O)O,14,7.85,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,215.21,-0.07
CHEMBL258130,O=C1c2ccccc2-c2ccc(CN(C[C@H](O)C(=O)O)C(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)O)cc21,39,7.41,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,554.6,1.8
CHEMBL258278,CC(C)CN(C[C@H](O)C(=O)O)C(=O)N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,23,7.64,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,269.21,-1.52
CHEMBL25996,CCOC(=O)C(CCc1ccccc1)SC(C)C(=O)N1CCCC1C(=O)O,2900,5.54,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127546,Tested for inhibitory potency against Angiotensin I Converting Enzyme,J. Med. Chem.,1994,443.61,4.49
CHEMBL26226,CC(OC(CCc1ccccc1)C(=O)O)C(=O)N1Cc2ccccc2CC1C(=O)O,86,7.07,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,458.45,2.37
CHEMBL263460,CC(NC(C(=O)O)C1CCCN1C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,2.9,8.54,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121705,Concentration required for 50% inhibition of Angiotensin I converting enzyme,J. Med. Chem.,1981,245.3,0.59
CHEMBL263501,CCCCC(CC(=O)NO)S(=O)(=O)c1ccccc1,81000,4.09,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127546,Tested for inhibitory potency against Angiotensin I Converting Enzyme,J. Med. Chem.,1994,357.48,3.5
CHEMBL263556,O=C(O)[C@@H]1CCCN1C(=O)CP(=O)(O)O,8317.64,5.08,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127546,Tested for inhibitory potency against Angiotensin I Converting Enzyme,J. Med. Chem.,1994,248.39,3.92
CHEMBL264538,C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N1CCC[C@H]1C(=O)O,730,6.14,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,445.52,1.15
CHEMBL270576,CC(C)CN(C[C@H](O)C(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,60,7.22,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,292.36,1.6
CHEMBL271718,O=C(O)[C@@H](O)CN(CCN1C(=O)c2cccc3cccc(c23)C1=O)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,1980,5.7,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1154033,Inhibition of human recombinant ACE by fluorimetry,Bioorg. Med. Chem. Lett.,2009,339.31,2.19
CHEMBL273140,O=C1c2ccccc2C(=O)c2cc(CN(C[C@H](O)C(=O)O)C(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)O)ccc21,40,7.4,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,435.48,1.2
CHEMBL273142,CC(C)(C)CN(C[C@H](O)C(=O)O)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,191,6.72,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,259.37,1.64
CHEMBL274550,NCCCCC(NC(=O)C1CCC1)C(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1C(=O)O,7,8.15,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121705,Concentration required for 50% inhibition of Angiotensin I converting enzyme,J. Med. Chem.,1981,321.4,2.33
CHEMBL274553,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1C(=O)NO)c1ccccc1,1600,5.8,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1154033,Inhibition of human recombinant ACE by fluorimetry,Bioorg. Med. Chem. Lett.,2009,360.36,2.53
CHEMBL27560,N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N1CCC[C@H]1C(=O)O,20000,4.7,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126948,Inhibitory concentration was evaluated by inhibiting 50% of Angiotensin I Converting Enzyme activity using 50 uM N-Cbz-Phe-His-Leu as substrate,J. Med. Chem.,1993,323.46,2.78
CHEMBL275702,NCCCCC(NC(=O)C1CCC1)C(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1C(=O)NO,11,7.96,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,362.43,1.52
CHEMBL277270,O=C(O)[C@@H]1CC2(CN1C(=O)CP(=O)(O)CCCCc1ccccc1)SCCS2,3.981,8.4,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL3259630,Inhibition of human ACE N-terminal domain using Cbz-Phe-His-Leu-OH substrate,ACS Med. Chem. Lett.,2014,535.53,1.54
CHEMBL277919,O=C(O)CCCC(=O)N1CCC[C@H]1C(=O)O,70000,4.16,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127546,Tested for inhibitory potency against Angiotensin I Converting Enzyme,J. Med. Chem.,1994,429.58,4.1
CHEMBL279737,CC(CS)C(=O)N1Cc2ccccc2CC1C(=O)O,18,7.75,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,424.5,3.27
CHEMBL28361,C[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,1400,5.85,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127546,Tested for inhibitory potency against Angiotensin I Converting Enzyme,J. Med. Chem.,1994,429.58,4.1
CHEMBL284272,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N1C[C@H](c2ccccc2)C[C@H]1C(=O)O,338.84,6.47,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122964,Inhibition of Angiotensin I converting enzyme,J. Med. Chem.,1985,231.27,0.15
CHEMBL284345,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N(CC(=O)O)c1ccccc1,1.072,8.97,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1145855,Inhibitory activity against Angiotensin I converting enzyme (ACE) from human blood serum,J. Med. Chem.,2003,405.5,1.24
CHEMBL284494,CCOC(=O)C(CCc1ccccc1)OC(C)C(=O)N1CCCC1C(=O)O,220,6.66,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,560.65,2
CHEMBL284734,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N1c2ccccc2C[C@H]1C(=O)O,0.2951,9.53,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1240366,Inhibition of ACE,Antimicrob. Agents Chemother.,2010,420.56,2.48
CHEMBL284843,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N1C[C@@H](Cc2ccccc2)C[C@H]1C(=O)O,0.8913,9.05,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122964,Inhibition of Angiotensin I converting enzyme,J. Med. Chem.,1985,200.26,1.5
CHEMBL284898,CCOC(=O)C(CCc1ccccc1)OC(C)C(=O)N1C(C(=O)O)CC2CCCCC21,24,7.62,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,230.33,2.01
CHEMBL285897,CC(OC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,110,6.96,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,253.32,1.12
CHEMBL285935,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N(CC(=O)O)C1CCCCC1,0.2951,9.53,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127412,Inhibition against ACE.,J. Med. Chem.,1994,333.39,0.14
CHEMBL286339,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N1C[C@@H](C2CCCCC2)C[C@H]1C(=O)O,0.4898,9.31,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127412,Inhibition against ACE.,J. Med. Chem.,1994,342.4,-2.05
CHEMBL287518,NCCCC[C@H](OP(=O)(O)CCCCc1ccccc1)C(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O,3.236,8.49,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122964,Inhibition of Angiotensin I converting enzyme,J. Med. Chem.,1985,437.5,1.61
CHEMBL287896,C[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,30,7.52,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,278.33,1.21
CHEMBL289022,CS[C@@H]1C[C@@H](C(=O)O)N(C(=O)[C@H](CCCCN)OP(=O)(O)CCCCc2ccccc2)C1,0.5248,9.28,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122972,In vitro inhibitory activity against Angiotensin I converting enzyme,J. Med. Chem.,1985,504.54,0.36
CHEMBL289267,O=C(O)CN1C(=O)[C@@H](N[C@@H](CSCc2ccccc2)C(=O)O)CCc2ccccc21,2.9,8.54,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL4020733,Inhibition of human plasma ACE,Bioorg Med Chem Lett,2017,407.32,2.02
CHEMBL289556,O=C(N[C@H]1CCS[C@H]2CCC[C@@H](C(=O)O)N2C1=O)[C@@H](S)Cc1ccccc1,1,9,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1129939,Inhibitory concentration required to inhibit Angiotensin I converting enzyme (ACE),J. Med. Chem.,1997,321.44,2.46
CHEMBL289618,CCOC(=O)[C@H](CCCCNC(=O)OCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,15,7.82,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,392.48,1.57
CHEMBL290284,O=C(O)CN1C(=O)[C@@H](NC(CCc2ccccc2)C(=O)O)CSc2ccccc21,3,8.52,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1129939,Inhibitory concentration required to inhibit Angiotensin I converting enzyme (ACE),J. Med. Chem.,1997,335.47,2.85
CHEMBL29031,Cc1ccc(S(=O)(=O)N[C@@H](Cc2ccccc2)C(=O)NCC(=O)N2CCC[C@H]2C(=O)O)cc1,67000,4.17,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127546,Tested for inhibitory potency against Angiotensin I Converting Enzyme,J. Med. Chem.,1994,363.52,3.66
CHEMBL290328,COC(=O)[C@H](CC(C)C)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,1000,6,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,417.46,0.8
CHEMBL290802,O=C(O)CN1C(=O)[C@@H](N[C@@H](Cc2ccccc2)C(=O)O)CCc2ccccc21,8.5,8.07,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1129939,Inhibitory concentration required to inhibit Angiotensin I converting enzyme (ACE),J. Med. Chem.,1997,335.47,2.85
CHEMBL291381,O=C(CCC(=O)N1CCCC1C(=O)O)NO,50000,4.3,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1121683,Concentration required to inhibit the activity of Angiotensin I converting enzyme by 50%,J. Med. Chem.,1981,354.83,0.98
CHEMBL293794,CC(NC(=O)C(Cc1ccccc1)CC(S)Cc1ccccc1)C(=O)O,3800,5.42,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1127546,Tested for inhibitory potency against Angiotensin I Converting Enzyme,J. Med. Chem.,1994,429.58,4.1
